"id","region","problem1","party","days_a_week_news","left_right","membership_eu","sex","birth_year","social_class","urban","religion","wealth","newspaper"
9,"Wales","Government intervention/control over the economy (prices , wages rents)","Labour","7",3,"Good thing","Male",1936,"Lower middle class","Small or middle-sized town","Other",3,"Don't read newspapers"
10,"South East","Law and Order (code this if you cannot use specific codes)","Liberal Democrats","7",4,"Good thing","Female",1937,"Middle class","Suburbs of large town or city","Church of England",6,"daily mail"
10,"South East","Law and Order (code this if you cannot use specific codes)","Liberal Democrats","7",4,"Good thing","Female",1937,"Middle class","Suburbs of large town or city","Church of England",6,"bucks herald"
11,"South West","Climate Change","Green Party","7",5,"Neither","Female",1945,"Middle class","Rural area or village","Roman Catholic",6,"Don't read newspapers"
12,"East of England","Effects of financial crisis on domestic/ EU/ global economy. ","Liberal Democrats","7",6,"Good thing","Male",1947,"Middle class","Rural area or village","No, do not belong to a denomination",5,"daily telegraph"
12,"East of England","Effects of financial crisis on domestic/ EU/ global economy. ","Liberal Democrats","7",6,"Good thing","Male",1947,"Middle class","Rural area or village","No, do not belong to a denomination",5,"the independent"
13,"East Midlands","Law and Order (code this if you cannot use specific codes)","Conservatives","7",10,"Bad thing","Female",1946,"Working class","Rural area or village","No, do not belong to a denomination",5,"Don't read newspapers"
14,"West Midlands","Economic Conditions","Conservatives","7",8,"Bad thing","Female",1930,"Middle class","Small or middle-sized town","Church of England",4,"daily express"
14,"West Midlands","Economic Conditions","Conservatives","7",8,"Bad thing","Female",1930,"Middle class","Small or middle-sized town","Church of England",4,"sunday express"
15,"North West","Economic Conditions","Conservatives","7",8,"Good thing","Female",1944,"Working class","Small or middle-sized town","Church of England",4,"daily express"
15,"North West","Economic Conditions","Conservatives","7",8,"Good thing","Female",1944,"Working class","Small or middle-sized town","Church of England",4,"the evening post"
15,"North West","Economic Conditions","Conservatives","7",8,"Good thing","Female",1944,"Working class","Small or middle-sized town","Church of England",4,"sunday express"
16,"East of England","Effects of financial crisis on domestic/ EU/ global economy. ","Conservatives","5",4,"Neither","Female",1973,"Middle class","Large town or city","Church of England",5,"Don't read newspapers"
17,"South West","Economic Conditions","[DK]","7",0,"Good thing","Female",1980,"Upper class","Large town or city","Muslim",6,"sun"
17,"South West","Economic Conditions","[DK]","7",0,"Good thing","Female",1980,"Upper class","Large town or city","Muslim",6,"the evening herald"
18,"East Midlands","Immigration","UK Independence Party (UKIP)","7",6,"Bad thing","Female",1948,"Working class","Small or middle-sized town","Church of England",5,"daily mail"
19,"Wales","Political Authority: Strong Government, Government Stability","Conservatives","7",10,"Bad thing","Male",1982,"Working class","Rural area or village","No, do not belong to a denomination",5,"sun"
19,"Wales","Political Authority: Strong Government, Government Stability","Conservatives","7",10,"Bad thing","Male",1982,"Working class","Rural area or village","No, do not belong to a denomination",5,"the times"
20,"Scotland","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","[OTHER (open answer recorded)]","6",4,"Bad thing","Male",1958,"Lower middle class","Small or middle-sized town","Roman Catholic",3,"the independent"
20,"Scotland","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","[OTHER (open answer recorded)]","6",4,"Bad thing","Male",1958,"Lower middle class","Small or middle-sized town","Roman Catholic",3,"the glasgow herald"
20,"Scotland","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","[OTHER (open answer recorded)]","6",4,"Bad thing","Male",1958,"Lower middle class","Small or middle-sized town","Roman Catholic",3,"the observer"
21,"East of England","Economic Conditions","[NONE]","7",5,"Neither","Male",1968,"Middle class","Rural area or village","No, do not belong to a denomination",4,"Don't read newspapers"
22,"South East","Economic Conditions","Labour","7",77,"Good thing","Female",1951,"Lower middle class","Rural area or village","No, do not belong to a denomination",5,"Don't read newspapers"
23,"South East","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","UK Independence Party (UKIP)","7",77,"Neither","Female",7777,"[Refused to be classified]","Suburbs of large town or city","No, do not belong to a denomination",3,"Don't read newspapers"
24,"South West","Stock market and its developments (shares, bonds, AEX, DAX, Dow Jones etc.)","[NAP]","5",77,"Good thing","Female",1963,"Working class","Small or middle-sized town","No, do not belong to a denomination",5,"Don't read newspapers"
25,"South West","National Way of Life (reference to patriotism/nationalism, support/opposition for established national ideas and/or valu","[DK]","4",77,"Good thing","Female",1964,"Lower middle class","Suburbs of large town or city","Church of England",4,"local paper"
26,"Scotland","Economic Conditions","[DK]","7",77,"Neither","Female",1938,"Middle class","Small or middle-sized town","Presbyterian/Church of Scotland",5,"the scotsman"
27,"London","Immigration","[NONE]","1 Day",5,"Neither","Female",1973,"Working class","Suburbs of large town or city","Church of England",5,"the times"
27,"London","Immigration","[NONE]","1 Day",5,"Neither","Female",1973,"Working class","Suburbs of large town or city","Church of England",5,"daily express"
28,"London","Economic Conditions","[REFUSED]","7",88,"Good thing","Male",1971,"Lower middle class","Suburbs of large town or city","Roman Catholic",4,"sun"
29,"East of England","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","[NONE]","7",77,"Good thing","Male",1949,"Working class","Rural area or village","Other",3,"Don't read newspapers"
30,"North West","Economic Conditions","[DK]","7",77,"Neither","Male",7777,"[Refused to be classified]","[REFUSED]","[REFUSED]",77,"daily telegraph"
31,"East Midlands","Law and Order (code this if you cannot use specific codes)","[DK]","0",5,"[DK]","Female",1937,"Working class","Rural area or village","No, do not belong to a denomination",6,"local paper"
32,"South East","Economic Conditions","Labour","7",88,"Neither","Male",1957,"Working class","Rural area or village","No, do not belong to a denomination",5,"standard"
33,"North East","Political Authority: Strong Government, Government Stability","[DK]","7",5,"Neither","Female",1930,"Working class","Rural area or village","No, do not belong to a denomination",3,"sun"
33,"North East","Political Authority: Strong Government, Government Stability","[DK]","7",5,"Neither","Female",1930,"Working class","Rural area or village","No, do not belong to a denomination",3,"daily mail"
33,"North East","Political Authority: Strong Government, Government Stability","[DK]","7",5,"Neither","Female",1930,"Working class","Rural area or village","No, do not belong to a denomination",3,"mail on sunday"
34,"London","Economic Conditions","[NONE]","2",77,"Neither","Male",1957,"Working class","Suburbs of large town or city","No, do not belong to a denomination",3,"daily telegraph"
35,"South East","Single Market/Common market","[NONE]","7",77,"Bad thing","Male",1928,"Middle class","Small or middle-sized town","[REFUSED]",5,"daily mail"
36,"South East","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","[NONE]","7",5,"Bad thing","Male",1935,"Working class","Rural area or village","No, do not belong to a denomination",3,"daily mail"
37,"London","[DK]","[NAP]","1 Day",5,"Good thing","Male",1974,"Upper middle class","Suburbs of large town or city","Other",5,"Don't read newspapers"
38,"Yorkshire and The Humber","[DK]","[NAP]","7",77,"Bad thing","Male",7777,"Middle class","Small or middle-sized town","[REFUSED]",4,"Don't read newspapers"
39,"London","Creating Jobs (specifically)","[DK]","5",5,"Good thing","Female",1978,"Middle class","Suburbs of large town or city","Hindu",5,"daily telegraph"
39,"London","Creating Jobs (specifically)","[DK]","5",5,"Good thing","Female",1978,"Middle class","Suburbs of large town or city","Hindu",5,"guardian"
39,"London","Creating Jobs (specifically)","[DK]","5",5,"Good thing","Female",1978,"Middle class","Suburbs of large town or city","Hindu",5,"the financial times"
40,"North West","[REFUSED]","[NAP]","2",88,"Neither","Female",1984,"Working class","Small or middle-sized town","No, do not belong to a denomination",1,"manchester evening news"
40,"North West","[REFUSED]","[NAP]","2",88,"Neither","Female",1984,"Working class","Small or middle-sized town","No, do not belong to a denomination",1,"advertiser"
41,"Yorkshire and The Humber","Unemployment","[NONE]","7",77,"Neither","Male",1952,"Lower middle class","Small or middle-sized town","No, do not belong to a denomination",3,"Don't read newspapers"
42,"South West","Immigration","[REFUSED]","6",77,"Good thing","Male",1948,"Working class","Rural area or village","No, do not belong to a denomination",5,"daily mail"
43,"North East","Unemployment","[OTHER (open answer recorded)]","7",4,"Bad thing","Male",1977,"Lower middle class","Suburbs of large town or city","No, do not belong to a denomination",4,"sun"
43,"North East","Unemployment","[OTHER (open answer recorded)]","7",4,"Bad thing","Male",1977,"Lower middle class","Suburbs of large town or city","No, do not belong to a denomination",4,"guardian"
43,"North East","Unemployment","[OTHER (open answer recorded)]","7",4,"Bad thing","Male",1977,"Lower middle class","Suburbs of large town or city","No, do not belong to a denomination",4,"local newspapers"
44,"Scotland","Economic Conditions","[NONE]","7",0,"Bad thing","Male",1946,"Middle class","Suburbs of large town or city","No, do not belong to a denomination",4,"morning star"
45,"North West","Unemployment","Labour","7",5,"Good thing","Female",1979,"Middle class","Suburbs of large town or city","Church of England",5,"daily mail"
46,"London","Economic Conditions","Labour","7",7,"Neither","Female",1986,"Working class","Large town or city","Muslim",4,"daily mail"
47,"West Midlands","Unemployment","Conservatives","7",7,"Neither","Female",1940,"Middle class","Rural area or village","Protestant",5,"weekly news letter-local"
47,"West Midlands","Unemployment","Conservatives","7",7,"Neither","Female",1940,"Middle class","Rural area or village","Protestant",5,"express and star"
47,"West Midlands","Unemployment","Conservatives","7",7,"Neither","Female",1940,"Middle class","Rural area or village","Protestant",5,"mail on sunday"
48,"Wales","Unemployment","Conservatives","7",6,"Neither","Male",1954,"Working class","Small or middle-sized town","No, do not belong to a denomination",3,"the star"
49,"North West","Economic Conditions","Liberal Democrats","7",5,"Bad thing","Female",1941,"Middle class","Rural area or village","Protestant",6,"daily telegraph"
49,"North West","Economic Conditions","Liberal Democrats","7",5,"Bad thing","Female",1941,"Middle class","Rural area or village","Protestant",6,"daily mail"
50,"London","Economic Conditions","Conservatives","7",6,"Bad thing","Male",1974,"Middle class","Suburbs of large town or city","No, do not belong to a denomination",5,"the times"
50,"London","Economic Conditions","Conservatives","7",6,"Bad thing","Male",1974,"Middle class","Suburbs of large town or city","No, do not belong to a denomination",5,"evening standard"
51,"Wales","Economic Conditions","Labour","7",4,"Good thing","Male",1936,"Lower middle class","Suburbs of large town or city","No, do not belong to a denomination",5,"guardian"
52,"Scotland","Economic Conditions","[DK]","7",88,"Neither","Female",1936,"Working class","Small or middle-sized town","Presbyterian/Church of Scotland",5,"Don't read newspapers"
53,"East Midlands","Economic Conditions","[NONE]","0",0,"Bad thing","Male",1964,"Working class","Small or middle-sized town","Roman Catholic",77,"Don't read newspapers"
54,"North West","Effects of financial crisis on domestic/ EU/ global economy. ","[DK]","7",4,"Neither","Female",1957,"Working class","Suburbs of large town or city","No, do not belong to a denomination",4,"the mirror"
55,"West Midlands","Unemployment","[DK]","7",6,"Neither","Female",1936,"Working class","Suburbs of large town or city","Church of England",7,"Don't read newspapers"
56,"South East","National elections in EU Countries","Conservatives","7",8,"Good thing","Male",1936,"Lower middle class","Small or middle-sized town","No, do not belong to a denomination",3,"daily telegraph"
57,"Wales","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","UK Independence Party (UKIP)","7",5,"Bad thing","Female",1941,"Lower middle class","Small or middle-sized town","No, do not belong to a denomination",1,"daily mail"
58,"South East","Immigration","Conservatives","7",7,"Good thing","Male",1936,"Working class","Large town or city","Church of England",4,"daily telegraph"
58,"South East","Immigration","Conservatives","7",7,"Good thing","Male",1936,"Working class","Large town or city","Church of England",4,"daily mail"
58,"South East","Immigration","Conservatives","7",7,"Good thing","Male",1936,"Working class","Large town or city","Church of England",4,"sunday times"
59,"East of England","Economic Conditions","[NONE]","7",10,"Neither","Male",1949,"Middle class","Large town or city","No, do not belong to a denomination",5,"daily express"
59,"East of England","Economic Conditions","[NONE]","7",10,"Neither","Male",1949,"Middle class","Large town or city","No, do not belong to a denomination",5,"mail on sunday"
60,"South East","Effects of financial crisis on domestic/ EU/ global economy. ","[NONE]","7",5,"Good thing","Male",1945,"Middle class","Small or middle-sized town","No, do not belong to a denomination",6,"daily telegraph"
61,"East of England","National employment policies","Conservatives","7",5,"Neither","Female",1933,"Working class","Small or middle-sized town","Methodist",3,"eastern daily press"
62,"South West","Any other topic","UK Independence Party (UKIP)","7",5,"Bad thing","Male",1934,"Working class","Suburbs of large town or city","Church of England",7,"daily mail"
63,"South East","Single Market/Common market","Conservatives","7",8,"Bad thing","Male",1950,"[Refused to be classified]","Rural area or village","Church of England",77,"the times"
64,"South East","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","[NONE]","7",5,"Bad thing","Female",1969,"Lower middle class","Rural area or village","No, do not belong to a denomination",4,"the times"
64,"South East","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","[NONE]","7",5,"Bad thing","Female",1969,"Lower middle class","Rural area or village","No, do not belong to a denomination",4,"the independent"
65,"London","Any other topic","[DK]","2",88,"Neither","Female",1948,"Working class","Large town or city","Roman Catholic",5,"sun"
65,"London","Any other topic","[DK]","2",88,"Neither","Female",1948,"Working class","Large town or city","Roman Catholic",5,"the times"
66,"South East","Climate Change","Labour","7",3,"Good thing","Male",1954,"Working class","Rural area or village","No, do not belong to a denomination",6,"guardian"
67,"East Midlands","Unemployment","UK Independence Party (UKIP)","7",4,"Bad thing","Female",1961,"Working class","Rural area or village","No, do not belong to a denomination",3,"sun"
68,"North West","Competences of Other EC/EU Institutions (References to the Powers of other EC/EU Institutions)","UK Independence Party (UKIP)","7",10,"Bad thing","Male",1950,"Lower middle class","Suburbs of large town or city","Roman Catholic",2,"daily mail"
68,"North West","Competences of Other EC/EU Institutions (References to the Powers of other EC/EU Institutions)","UK Independence Party (UKIP)","7",10,"Bad thing","Male",1950,"Lower middle class","Suburbs of large town or city","Roman Catholic",2,"the mirror"
69,"Scotland","Economic Conditions","Labour","7",6,"Good thing","Male",1986,"Lower middle class","Small or middle-sized town","No, do not belong to a denomination",3,"the times"
70,"West Midlands","Immigration","[NONE]","7",5,"Neither","Female",1980,"Working class","Suburbs of large town or city","Other",5,"daily mail"
71,"Scotland","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","[NONE]","7",8,"Bad thing","Male",1943,"Upper middle class","Small or middle-sized town","No, do not belong to a denomination",5,"daily telegraph"
72,"South East","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","[DK]","5",88,"Good thing","Female",1975,"Lower middle class","Small or middle-sized town","No, do not belong to a denomination",6,"Don't read newspapers"
73,"South West","Single Market/Common market","UK Independence Party (UKIP)","7",5,"Bad thing","Male",1951,"Working class","Suburbs of large town or city","No, do not belong to a denomination",4,"daily express"
74,"East of England","Debt (public debt of a state, a community etc.)","Liberal Democrats","5",6,"Good thing","Male",1965,"Middle class","Rural area or village","Church of England",5,"Don't read newspapers"
75,"North West","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","UK Independence Party (UKIP)","7",5,"Bad thing","Female",1945,"Middle class","Suburbs of large town or city","No, do not belong to a denomination",4,"Don't read newspapers"
76,"East of England","Economic Conditions","Conservatives","5",7,"Bad thing","Male",1960,"Working class","Small or middle-sized town","No, do not belong to a denomination",2,"sun"
77,"South East","Immigration","[DK]","6",5,"Bad thing","Female",1961,"Working class","Small or middle-sized town","No, do not belong to a denomination",4,"daily mail"
78,"North West","Effects of financial crisis on domestic/ EU/ global economy. ","[REFUSED]","7",6,"Neither","Male",1963,"[Refused to be classified]","Small or middle-sized town","Church of England",5,"Don't read newspapers"
79,"North West","Economic Conditions","Conservatives","7",6,"Bad thing","Male",1950,"Working class","Small or middle-sized town","Church of England",4,"the mirror"
80,"South West","Single Market/Common market","UK Independence Party (UKIP)","7",77,"Bad thing","Male",1939,"Middle class","Rural area or village","Church of England",4,"local paper"
81,"Yorkshire and The Humber","Immigration","[DK]","7",88,"Neither","Female",1930,"Working class","Small or middle-sized town","Church of England",6,"Don't read newspapers"
82,"South East","[DK]","[NAP]","2",0,"Good thing","Male",1947,"Middle class","Small or middle-sized town","Roman Catholic",5,"Don't read newspapers"
83,"North West","Economic Conditions","Conservatives","7",5,"Neither","Female",1957,"Working class","Suburbs of large town or city","No, do not belong to a denomination",4,"local newspaper"
84,"Wales","Immigration","[NONE]","7",5,"Bad thing","Female",7777,"[Refused to be classified]","Rural area or village","Church of England",5,"daily telegraph"
84,"Wales","Immigration","[NONE]","7",5,"Bad thing","Female",7777,"[Refused to be classified]","Rural area or village","Church of England",5,"western mail"
85,"Wales","Immigration","[OTHER (open answer recorded)]","7",7,"Good thing","Male",1942,"Upper middle class","Rural area or village","Church of England",5,"the financial times"
85,"Wales","Immigration","[OTHER (open answer recorded)]","7",7,"Good thing","Male",1942,"Upper middle class","Rural area or village","Church of England",5,"daily mail"
85,"Wales","Immigration","[OTHER (open answer recorded)]","7",7,"Good thing","Male",1942,"Upper middle class","Rural area or village","Church of England",5,"daily express"
86,"Scotland","Young People (policies aimed at, treatment)","[NONE]","7",4,"Neither","Female",1932,"Working class","Small or middle-sized town","No, do not belong to a denomination",6,"aberdeen tress journal"
87,"West Midlands","Any other topic","[DK]","3",5,"Neither","Male",1980,"Lower middle class","Small or middle-sized town","[REFUSED]",5,"guardian"
88,"North West","Economic Conditions","[NONE]","7",3,"Neither","Female",7777,"[Refused to be classified]","[REFUSED]","[REFUSED]",77,"the times"
89,"East of England","Immigration","Conservatives","7",8,"Bad thing","Female",1931,"Lower middle class","Small or middle-sized town","Church of England",3,"Don't read newspapers"
90,"London","Economic Conditions","Conservatives","7",7,"Good thing","Male",1961,"Working class","Large town or city","Muslim",4,"Don't read newspapers"
91,"East Midlands","Unemployment","[DK]","5",5,"[DK]","Female",1926,"Lower middle class","Small or middle-sized town","Church of England",5,"daily express"
91,"East Midlands","Unemployment","[DK]","5",5,"[DK]","Female",1926,"Lower middle class","Small or middle-sized town","Church of England",5,"the advertiser"
92,"South West","Immigration","[REFUSED]","7",6,"Bad thing","Female",1948,"Middle class","Small or middle-sized town","No, do not belong to a denomination",4,"daily express"
93,"South East","Division of power among brunches of government","[DK]","7",7,"Bad thing","Male",1940,"Middle class","Rural area or village","Church of England",5,"daily telegraph"
93,"South East","Division of power among brunches of government","[DK]","7",7,"Bad thing","Male",1940,"Middle class","Rural area or village","Church of England",5,"sunday times"
94,"West Midlands","Economic Conditions","[NONE]","7",5,"Bad thing","Male",1957,"[Refused to be classified]","Small or middle-sized town","Church of England",3,"Don't read newspapers"
95,"South East","Economic Conditions","Labour","7",5,"Good thing","Female",1941,"Working class","Rural area or village","Church of England",5,"gazette"
96,"East Midlands","Immigration","[NONE]","7",0,"Neither","Female",1971,"Middle class","Rural area or village","Church of England",4,"daily telegraph"
97,"South East","Economic Conditions","Liberal Democrats","2",4,"Good thing","Female",1930,"Working class","Suburbs of large town or city","Church of England",2,"Don't read newspapers"
98,"London","Unemployment","[NONE]","7",77,"Good thing","Female",1965,"Lower middle class","Suburbs of large town or city","No, do not belong to a denomination",3,"Don't read newspapers"
99,"East of England","Immigration","[NONE]","7",8,"Bad thing","Male",1955,"Middle class","Small or middle-sized town","Church of England",6,"sun"
99,"East of England","Immigration","[NONE]","7",8,"Bad thing","Male",1955,"Middle class","Small or middle-sized town","Church of England",6,"daily mail"
99,"East of England","Immigration","[NONE]","7",8,"Bad thing","Male",1955,"Middle class","Small or middle-sized town","Church of England",6,"the mirror"
100,"South West","National Crime prevention policy(ies)","[NONE]","7",7,"Bad thing","Male",1961,"Lower middle class","Small or middle-sized town","No, do not belong to a denomination",4,"daily express"
101,"North West","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","[NONE]","7",88,"Bad thing","Female",1951,"Working class","Small or middle-sized town","Church of England",2,"sun"
102,"South West","Unemployment","Labour","7",5,"Neither","Male",1960,"Working class","Large town or city","No, do not belong to a denomination",5,"guardian"
103,"London","Single Market/Common market","Liberal Democrats","7",4,"Good thing","Female",1946,"Middle class","Suburbs of large town or city","Methodist",7,"Don't read newspapers"
104,"North West","Education (code this if you cannot use specific codes)","Conservatives","3",5,"Good thing","Female",1966,"Middle class","Rural area or village","No, do not belong to a denomination",5,"Don't read newspapers"
105,"North East","Taxes","Conservatives","7",7,"Bad thing","Male",1965,"Middle class","Suburbs of large town or city","Church of England",5,"the times"
105,"North East","Taxes","Conservatives","7",7,"Bad thing","Male",1965,"Middle class","Suburbs of large town or city","Church of England",5,"daily mail"
106,"West Midlands","Economic Conditions","Conservatives","7",7,"Neither","Female",1940,"Middle class","Rural area or village","No, do not belong to a denomination",5,"daily telegraph"
107,"East Midlands","Any other topic","Conservatives","3",8,"Bad thing","Male",1925,"Middle class","Rural area or village","Methodist",5,"daily telegraph"
108,"North West","Economic Conditions","Labour","7",3,"Good thing","Female",1968,"Middle class","Rural area or village","Church of England",5,"Don't read newspapers"
109,"London","Immigration","Liberal Democrats","7",6,"Neither","Male",1934,"Middle class","Large town or city","Roman Catholic",4,"the times"
110,"Scotland","Unemployment","[NONE]","3",88,"Neither","Female",1975,"Working class","Rural area or village","Presbyterian/Church of Scotland",5,"daily record"
111,"Scotland","Abortion","[NONE]","5",5,"Good thing","Male",1959,"Working class","Large town or city","Roman Catholic",3,"the times"
111,"Scotland","Abortion","[NONE]","5",5,"Good thing","Male",1959,"Working class","Large town or city","Roman Catholic",3,"local edinburgh paper"
112,"Scotland","[DK]","[NAP]","7",10,"Good thing","Male",1969,"Middle class","Suburbs of large town or city","No, do not belong to a denomination",4,"sun"
112,"Scotland","[DK]","[NAP]","7",10,"Good thing","Male",1969,"Middle class","Suburbs of large town or city","No, do not belong to a denomination",4,"daily telegraph"
113,"South East","Law and Order (code this if you cannot use specific codes)","[DK]","3",7,"Neither","Male",1989,"Working class","Small or middle-sized town","No, do not belong to a denomination",5,"sun"
114,"South West","Unemployment","[NONE]","6",5,"Neither","Female",1961,"Working class","Suburbs of large town or city","No, do not belong to a denomination",4,"Don't read newspapers"
115,"East of England","Political Authority: Strong Government, Government Stability","[NONE]","7",5,"Neither","Female",1980,"Working class","Suburbs of large town or city","Church of England",3,"sun"
115,"East of England","Political Authority: Strong Government, Government Stability","[NONE]","7",5,"Neither","Female",1980,"Working class","Suburbs of large town or city","Church of England",3,"daily mail"
115,"East of England","Political Authority: Strong Government, Government Stability","[NONE]","7",5,"Neither","Female",1980,"Working class","Suburbs of large town or city","Church of England",3,"news of the world"
116,"West Midlands","Unemployment","Labour","3",7,"Good thing","Female",1956,"Working class","Small or middle-sized town","Church of England",4,"the mirror"
116,"West Midlands","Unemployment","Labour","3",7,"Good thing","Female",1956,"Working class","Small or middle-sized town","Church of England",4,"the herald"
117,"North West","Unemployment","[NONE]","7",8,"Bad thing","Female",1968,"Working class","Suburbs of large town or city","No, do not belong to a denomination",3,"guardian"
117,"North West","Unemployment","[NONE]","7",8,"Bad thing","Female",1968,"Working class","Suburbs of large town or city","No, do not belong to a denomination",3,"the times"
117,"North West","Unemployment","[NONE]","7",8,"Bad thing","Female",1968,"Working class","Suburbs of large town or city","No, do not belong to a denomination",3,"the lanacashire evening post"
117,"North West","Unemployment","[NONE]","7",8,"Bad thing","Female",1968,"Working class","Suburbs of large town or city","No, do not belong to a denomination",3,"daily mail"
118,"London","[REFUSED]","[NAP]","4",5,"Good thing","Female",1987,"Middle class","Small or middle-sized town","No, do not belong to a denomination",5,"sweedish newspapers"
119,"Wales","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","[NONE]","7",5,"Bad thing","Male",1940,"Middle class","Small or middle-sized town","No, do not belong to a denomination",4,"daily telegraph"
119,"Wales","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","[NONE]","7",5,"Bad thing","Male",1940,"Middle class","Small or middle-sized town","No, do not belong to a denomination",4,"the mirror"
120,"London","Economic Conditions","Liberal Democrats","7",4,"Good thing","Male",1957,"Middle class","Suburbs of large town or city","No, do not belong to a denomination",4,"Don't read newspapers"
121,"Yorkshire and The Humber","[REFUSED]","[NAP]","7",6,"Neither","Female",1922,"Middle class","Small or middle-sized town","No, do not belong to a denomination",5,"sun"
122,"Wales","Unemployment","[NONE]","7",4,"Neither","Female",1948,"Working class","Small or middle-sized town","Roman Catholic",5,"south wales evening post"
123,"West Midlands","Unemployment","[DK]","7",6,"Neither","Female",1966,"Working class","Small or middle-sized town","No, do not belong to a denomination",3,"Don't read newspapers"
124,"London","Economic structure/policies/goals/conditions (code this if you cannot use specific codes)","[NONE]","6",6,"Neither","Female",1967,"Lower middle class","Suburbs of large town or city","Church of England",4,"sun"
124,"London","Economic structure/policies/goals/conditions (code this if you cannot use specific codes)","[NONE]","6",6,"Neither","Female",1967,"Lower middle class","Suburbs of large town or city","Church of England",4,"the times"
124,"London","Economic structure/policies/goals/conditions (code this if you cannot use specific codes)","[NONE]","6",6,"Neither","Female",1967,"Lower middle class","Suburbs of large town or city","Church of England",4,"daily mail"
124,"London","Economic structure/policies/goals/conditions (code this if you cannot use specific codes)","[NONE]","6",6,"Neither","Female",1967,"Lower middle class","Suburbs of large town or city","Church of England",4,"sunday times"
125,"London","Welfare State (code this if you cannot use specific codes)","Liberal Democrats","7",3,"Neither","Male",1986,"Middle class","Large town or city","Roman Catholic",3,"guardian"
125,"London","Welfare State (code this if you cannot use specific codes)","Liberal Democrats","7",3,"Neither","Male",1986,"Middle class","Large town or city","Roman Catholic",3,"the evening standard"
126,"Scotland","Effects of financial crisis on domestic/ EU/ global economy. ","[DK]","1 Day",5,"Neither","Male",1988,"Middle class","Rural area or village","No, do not belong to a denomination",5,"sun"
127,"West Midlands","National Political corruption  (political parties, politicians, abuse of national funds, etc., including regulations and","Liberal Democrats","7",10,"Good thing","Male",1940,"Working class","Suburbs of large town or city","Church of England",5,"sun"
